CO2 per capita,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brazil,0.364596577,0.38946271,0.434654088,0.426320776,0.48671358,0.541664673,0.566014026,0.540324811,0.569859054,0.552966265,0.644650535,0.656204106,0.69476062,0.698277089,0.691653056,0.668254686,0.741321794,0.74310443,0.847031068,0.899492955,0.975797824,1.042472414,1.134125212,1.282912896,1.357039172,1.396648509,1.400122657,1.436386109,1.523261646,1.58378357,1.537018062,1.378865308,1.350126977,1.277159639,1.265490911,1.330177158,1.430177161,1.46349809,1.449049079,1.454938642,1.395708069,1.44144039,1.427627544,1.46967197,1.519035072,1.596088561,1.732704312,1.800931853,1.843227636,1.861992226,1.880196477,1.907555762,1.853076585,1.770560438,1.837108443,1.867213313,1.849542335,1.913505573,2.023772836,1.899717681,2.152980753,2.209099657,2.256671685,2.256671685,2.256671685,2.256671685
Canada,11.2292859,11.52001876,10.98830305,10.7809185,10.65040098,10.77864743,11.74464621,11.00751732,10.68074328,10.54954937,10.76986821,10.61937055,11.11948606,11.13031576,12.31422875,12.81283341,12.91433027,13.74856901,14.50010119,14.40185357,15.72302558,15.99096401,17.05605798,16.87339602,17.04511867,17.1593927,17.0515943,16.80246211,16.92509634,17.63385691,17.47853749,16.79719566,15.99971677,15.71734354,15.923864,15.54871362,14.78760134,15.50451762,16.11905076,16.1114233,16.24627409,16.00659734,16.47303828,16.64813358,15.66582206,15.68996052,15.81493777,16.18712728,17.17383324,16.96193179,17.42683142,16.97414433,16.59485318,17.49953067,17.28981435,17.43992599,16.86231777,17.0041237,16.35039863,15.26009889,14.6720161,14.80703882,14.57371687,14.57371687,14.57371687,14.57371687
Dominican Rep,0.147,0.147,0.238,0.238,0.233,0.33,0.343,0.347,0.347,0.35,0.316,0.302,0.353,0.344,0.465,0.399,0.418,0.38,0.553,0.607,0.69,0.761,0.982,1.22,1.28,1.23,1.2,1.04,0.983,1.2,1.11,1.04,1.04,1.27,1.17,1.12,1.23,1.44,1.42,1.47,1.28,1.37,1.46,1.55,1.61,2.01,2.16,2.2,2.22,2.2,2.31,2.28,2.41,2.4,2.01,2.02,2.11,2.23,2.22,2.1,2.19,2.2,2.24,2.24,2.24,2.24
Haiti,0.035286213,0.040298551,0.04401803,0.046500699,0.06267592,0.076150181,0.073727468,0.069335394,0.073934967,0.066712953,0.073949542,0.07528916,0.075627413,0.060734039,0.071787692,0.071226405,0.06981674,0.058542076,0.058207667,0.068205029,0.081747155,0.084130171,0.080434991,0.084982309,0.093681268,0.094142489,0.128791744,0.132501699,0.138612703,0.135735992,0.132153923,0.131693121,0.138471144,0.146615736,0.146111934,0.147350257,0.128931756,0.136550276,0.149750255,0.148718307,0.139464396,0.137118199,0.122504097,0.087634048,0.038922813,0.119622352,0.13604082,0.173767096,0.147682281,0.156673798,0.158196411,0.178497003,0.204359094,0.191102709,0.215718255,0.222025801,0.222805116,0.248808697,0.249306755,0.229346924,0.212076549,0.212076549,0.212076549,0.212076549,0.212076549,0.212076549
United States,16.08097785,16.33665442,15.67051997,15.77902239,14.77742743,15.91391299,16.38797776,15.9663041,15.20859066,15.40950225,15.5127572,15.2238646,15.56069002,16.02807367,16.51846621,16.99960741,17.66143423,18.13966389,18.62673272,19.38771512,20.66471465,20.61159223,21.40459783,22.1679634,21.17817597,20.10844789,20.85663137,21.23777748,21.68539,21.52639004,20.54059203,19.52885838,18.35646376,18.32700114,18.7187054,18.60508308,18.44289823,19.0467892,19.68028544,19.73482698,18.81945743,18.86679494,19.05616432,19.28392343,19.43717997,19.35877149,19.62023371,19.87559408,19.76765214,19.8037525,20.22341689,19.61477176,19.58778636,19.5033538,19.69046185,19.62757965,19.1514501,19.28039782,18.5459917,17.26222431,17.50271785,16.98316101,16.2181998,16.2181998,16.2181998,16.2181998
Denmark,5.15603121,5.093012235,5.275271817,5.292330863,5.805326763,6.102665016,5.909778579,5.546286647,5.93138388,5.728213325,6.501854897,6.878990852,7.943650211,8.68791749,9.144959229,9.31556665,10.45340906,10.15974302,10.96234643,12.12925547,12.59864662,11.50555456,11.94800546,11.80396143,10.91903974,10.99443431,11.80780132,12.0655012,11.8983832,12.24201178,11.75288459,10.06079564,10.43591109,9.759396924,9.890119056,11.68683895,11.45131607,11.355024,10.70915342,9.508081704,9.675485515,11.87336867,10.50153002,11.00910421,11.71249074,10.53541597,13.05294381,10.809832,10.57868801,9.571741038,8.850265221,9.154250034,9.172628705,10.35004201,9.36852657,8.689944331,10.1053826,9.18756731,8.541507801,8.054240996,8.341948729,7.430455436,6.561125212,6.561125212,6.561125212,6.561125212
Germany,7.474474256,8.40222282,8.851021079,8.980314598,9.446009815,10.29582275,10.83537908,10.92938114,10.554574,10.46976314,11.18738991,11.37933301,11.93342865,12.66362265,12.86755348,12.64986654,12.44498619,12.16528792,12.72099839,13.5226599,13.13717155,13.24500653,13.27670135,13.82791189,13.53017658,12.7655002,13.89876401,13.42240344,13.77597736,14.29281903,14.08973538,13.45958881,13.07022381,13.04715204,13.34292912,13.48265026,13.51195079,13.28708809,13.1974408,12.93279745,12.81357045,11.67440616,11.10938596,10.84403101,10.62001276,10.54604616,10.82152956,10.47297493,10.38593584,9.987493757,10.07786447,10.36102497,10.05308301,10.10292354,10.00700282,9.77250761,9.799174272,9.500478837,9.497246757,8.88512538,9.05581625,8.754291404,8.931394934,8.931394934,8.931394934,8.931394934
Hungary,1.971215752,2.342737799,2.838211258,3.281237271,3.485749044,3.637744989,3.363242862,3.885234232,3.954618809,4.211920339,4.544668937,4.892227051,5.035055463,5.586347616,6.173146695,6.043695195,6.067381037,5.762970979,5.970559923,6.072760651,6.785634193,6.690408873,6.679466031,7.002123006,7.072619391,7.165516852,7.571624358,7.83835927,8.274672366,8.068287598,8.118152761,8.101560621,8.144658181,8.38694996,8.582988949,8.166655664,7.953200494,8.068188851,7.503547816,7.315919682,6.066633771,6.122063632,5.66998899,5.808821379,5.614639581,5.812634225,6.078408883,6.005209687,5.920257175,5.895722575,5.605283557,5.598287019,5.52096592,5.828235983,5.672051192,5.741221451,5.686384665,5.561755826,5.453231724,4.866039934,5.066085583,4.928322284,4.671128974,4.671128974,4.671128974,4.671128974
Poland,4.520407988,4.815386355,4.944051464,5.273259289,5.496054218,5.657051317,6.023544461,6.388482622,6.244985647,6.621992732,6.880067272,7.046109458,7.257493107,7.626077015,7.907881001,7.943009567,8.032696193,8.166969204,8.624109047,9.100351604,9.358227862,9.548425687,9.972167532,10.07078172,10.30140398,11.05399497,11.63953794,12.11180005,12.37392267,12.55469674,13.05705575,11.4145997,11.63999372,11.53549914,11.75004055,11.98488475,12.10877443,12.36385369,11.7979891,11.17016554,9.636806895,9.474639285,9.340444451,9.199420817,8.761493469,9.032723968,9.343764385,9.143668047,8.520610819,8.271701392,7.875842074,7.912304858,7.766173342,7.980185568,7.988454823,7.954155601,8.382828583,8.26421315,8.270767149,7.810876601,8.287696297,8.291444093,8.028115139,8.028115139,8.028115139,8.028115139
Romania,1.191425156,1.356243008,1.58135722,1.795181276,1.940252916,2.105513223,2.307720374,2.570216694,2.756899398,2.776924416,2.903532761,3.009154531,3.426595859,3.708900522,3.821270134,4.135981722,4.375605253,4.728971938,5.073838684,5.579839426,5.930202664,6.145423387,6.404391524,6.947248991,7.169611613,7.636707439,8.147901202,8.238282504,8.871761304,8.89561453,8.855271773,8.871585918,8.72361416,8.900985023,8.365882793,8.551260456,8.847829576,9.233546361,9.211707192,9.237416415,6.844885455,5.93530343,5.34073445,5.258983036,5.059345905,5.603394519,5.61339591,5.093895127,4.569124984,4.022479632,4.054506967,4.328656246,4.187281375,4.375354927,4.366713078,4.394088872,4.726338304,4.663950028,4.383449075,3.728429376,3.664555545,4.016768427,3.807815272,3.807815272,3.807815272,3.807815272
