GDP per capita,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brazil,1531,1498,1471,1571,1492,1569,1722,1702,1785,1879,1853,1797,1834,1977,2143,2099,1998,1870,1896,2012,2133,2137,2330,2370,2407,2397,2308,2351,2214,2337,2451,2457,2662,2643,2811,2932,3030,3074,3191,3228,3366,3543,3521,3668,3935,4184,4433,4663,4823,4697,4707,4671,4836,4888,5215,5550,5930,6463,7082,7904,8362,8595,9274,9512,9759,10187,10922,10224,10094,9590,9913,10495,11079,11267,11062,11226,10331,10315,10104,10413,10802,11108,11178,11382,11250,11139,11461,11446,11638,11627,12135,12373,12732,13364,13906,13749,14660,15101,15234,15518,15412,15441
Canada,6717,7061,7747,8002,7399,6695,6430,5587,6310,6611,6610,7211,7468,8046,8581,8402,7976,6636,6083,5582,6111,6538,6824,7399,7517,7882,8871,9996,11617,11993,12287,11773,11437,11694,11654,11650,12022,12419,12911,13158,12687,13513,14253,14177,14056,14289,14414,14545,15276,15752,16464,17243,18022,18240,18900,19614,19842,20688,21532,22797,23405,23593,24563,25095,25853,26665,26678,27171,26031,26525,27781,29016,29482,30288,31356,31550,31163,30090,29977,30424,31505,32101,32290,33310,34389,35810,37314,37563,38270,38621,39436,40284,41012,41432,41468,39884,40773,41567,41865,42213,42817,43294
Dominican Republic,1125,1142,1160,1178,1196,1215,1234,1255,1277,1299,1321,1344,1367,1391,1415,1439,1464,1489,1515,1541,1568,1595,1622,1650,1678,1707,1737,1766,1797,1828,1859,1891,1923,1956,1990,2024,2058,2242,2358,2262,2321,2390,2550,2627,2681,2612,2655,2514,2851,2943,3044,2586,2848,2859,2784,3004,3234,3484,3816,4172,4306,4407,4595,4710,4712,4807,4988,5081,5062,5176,5085,4857,4903,5169,5104,5645,5278,5222,5657,5949,5973,6188,6514,6918,7283,7649,7955,7974,8307,8162,8147,8772,9568,10233,10408,10363,11075,11241,11391,11790,12505,12837
Haiti,1653,1670,1687,1704,1722,1739,1757,1775,1793,1812,1831,1849,1868,1888,1907,1927,1946,1966,1986,2007,2027,2048,2069,2090,2112,2133,2155,2177,2199,2222,2244,2267,2261,2274,2271,2270,2281,2278,2367,2252,2394,2256,2408,2222,2351,2196,2292,2154,2312,2116,2024,2003,1949,1869,1902,1922,1970,2076,2130,2204,2322,2249,2421,2412,2507,2666,2848,2727,2588,2559,2515,2469,2414,2346,2314,2290,2242,2208,1873,1799,1621,1672,1710,1726,1733,1748,1734,1688,1657,1637,1557,1562,1576,1607,1600,1628,1518,1580,1603,1648,1670,1710
United States,7981,8081,9061,8703,9375,9401,9181,8789,9135,10150,10249,10316,10828,10771,10746,11272,10139,9277,7991,7769,8308,8872,10058,10413,9911,10605,11320,13239,15702,18551,19847,18828,14777,14267,14544,14340,15319,16198,16508,16974,16558,17409,17428,17430,16961,17909,18059,18170,18966,19497,20338,21361,22495,22803,23647,24147,23908,24350,25374,26567,26258,25934,27041,27990,29281,29951,29619,30070,29230,30185,32110,33065,33899,34787,35929,36830,37062,36543,37321,37844,38892,39476,40501,41812,43166,44673,45986,45978,46367,47260,48597,49762,50599,51011,50384,48558,49373,49781,50549,51282,52118,53354
Denmark,7649,7020,7219,6699,6396,7126,7359,7031,7633,8327,8247,7951,8326,8412,8620,9118,9571,9581,9219,9414,9591,9708,9856,10001,10148,10534,8977,8012,8095,8871,9666,8822,10047,10484,10643,11258,12025,12004,12027,12601,12732,12767,12837,13741,13963,14896,15198,16061,16815,16793,18228,18917,19284,19775,20482,21701,21990,22464,23562,24318,24027,23846,25376,25758,26108,27020,26921,26741,27622,28392,29711,31032,32181,32297,32720,32849,33256,33601,34152,34008,35766,36670,37521,38584,39297,40321,41693,41886,41947,41996,42993,43919,45437,45609,45017,42498,42997,43314,42869,42483,42777,43495
Germany,4793,4559,4633,4679,4746,4131,4482,4969,5415,4500,5270,5857,6015,6618,6909,6884,6791,6276,5809,6178,6738,7232,7852,8305,8894,9674,9711,10310,10407,10722,11120,8284,4084,4504,5258,6112,7251,7884,8561,9252,9926,10998,11751,12385,12884,13759,14808,15317,15872,16221,17100,17838,18262,18311,19254,20409,21218,21695,22497,23461,23662,23630,24904,25678,26444,27515,27765,27846,27645,28227,29135,29851,30514,30986,31906,32706,31476,32844,33221,32689,33375,33843,34008,34578,35254,35931,36953,37517,37458,37167,37614,37901,39352,40693,41199,38975,40632,42080,42959,42887,43444,44053
Hungary,3571,3492,3414,3338,3264,3191,3120,3250,3384,3523,3666,4419,4239,4434,4837,5010,4913,4681,4567,4991,5027,5288,5650,5533,5824,6273,5850,5893,6199,5555,4977,4459,3994,4141,5168,5562,5893,6439,6633,6724,6914,7483,7115,7795,8317,8641,9087,9539,9939,10492,11083,11173,11809,12475,12612,12973,12917,13471,13736,14420,14746,14991,14970,15853,16199,16209,16369,16500,17122,16989,17485,17103,17493,17811,18395,18077,16930,14926,14474,14407,14852,15095,15126,15667,16365,16943,17707,18411,19292,20079,21087,22029,22938,23091,23334,21839,22062,22524,22306,22708,23609,24200
Poland,2996,3041,3087,3133,3180,3227,3276,3331,3387,3444,3502,3560,3618,3678,3738,3799,3591,3296,3007,2894,2910,2926,2987,3533,4037,4354,3696,3377,2978,2808,1809,1875,3203,3715,4134,4458,4670,4801,4832,5027,5224,5386,5530,5730,5923,6009,6248,6669,6511,6836,7078,7409,7818,8044,8473,8331,8705,9256,9854,10504,11020,11430,11605,11713,12033,11703,11307,10610,10420,10835,11138,11159,11429,11207,11418,11212,10088,9347,9553,9884,10386,11093,11776,12602,13225,13824,14565,14744,14964,15508,16314,16900,17959,19254,19996,20507,21328,22333,22740,23144,23952,24787
Romania,3183,3156,3128,3100,3071,3041,3012,3005,2996,2985,2971,2954,2936,2951,2962,2834,3046,3119,2949,3096,3132,3212,3248,3113,3460,3356,3254,3153,3054,2957,2862,2769,2678,2589,2502,3034,3676,3933,4202,4475,4773,5062,5235,5417,5611,5829,6052,6429,6637,7087,7512,7959,8836,9190,9193,9492,9602,10824,11396,11648,12166,12563,13062,13207,13507,13769,13705,13523,13452,13281,13759,13673,13836,13471,13367,12872,11449,10059,9253,9406,9794,10516,10969,10329,9855,9752,9970,10684,11429,12105,13286,13941,15246,16442,18032,16947,16888,17363,17502,18182,18569,19203
