Total population,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brazil,22414074,22414074,22414074,22414074,22414074,22414074,27660862,27660862,27660862,27660862,27660862,27660862,27660862,27660862,27660862,27660862,33888997,33888997,33888997,33888997,33888997,33888997,33888997,33888997,33888997,33888997,33888997,41545129,41545129,41545129,41545129,41545129,41545129,41545129,41545129,41545129,41545129,53974726,55605541,57304772,59053267,60838782,62655984,64506874,66400362,68351012,70376952,72493585,74706888,77007549,79368453,81751802,84130061,86494987,88853679,91213009,93585746,95982453,98402200,100844391,103320787,105846274,108431284,111076063,113776467,116532153,119341444,122199721,125107382,128054757,131014337,133950551,136836428,139664639,142437479,145150468,147801816,150393143,152916852,155379009,157812220,160260508,162755054,165303155,167893835,170516482,173153066,175786441,178419396,181045592,183627339,186116363,188479240,190698241,192784521,194769696,196701298,198614208,200517584,202401584,204259377,206077898,207847528
Canada,7181200,7181200,7181200,7181200,7181200,7181200,8764205,8764205,8764205,8764205,8764205,8764205,8764205,8764205,8764205,8764205,10450983,10450983,10450983,10450983,10450983,10450983,10450983,10450983,10450983,10450983,10450983,11655920,11655920,11655920,11655920,11655920,11655920,11655920,11655920,11655920,11655920,13736997,14099994,14481497,14882050,15300472,15733858,16177451,16624767,17067983,17498573,17909232,18295922,18659663,19007305,19349346,19693538,20041006,20389445,20739031,21089228,21439200,21790338,22141998,22488744,22823272,23140609,23439940,23723801,23994948,24257594,24515788,24768525,25017501,25272656,25546736,25848173,26181342,26541981,26919036,27296517,27662440,28014102,28353843,28680921,28995822,29299478,29590952,29871092,30145148,30420216,30701903,30991344,31288572,31596593,31918582,32256333,32611436,32982275,33363256,33746559,34126173,34499905,34868151,35230612,35587793,35939927
Dominican Republic,704604,704604,704604,704604,704604,704604,906435,906435,906435,906435,906435,906435,906435,906435,906435,906435,1289191,1289191,1289191,1289191,1289191,1289191,1289191,1289191,1289191,1289191,1289191,1718123,1718123,1718123,1718123,1718123,1718123,1718123,1718123,1718123,1718123,2364650,2438412,2517258,2600801,2688701,2780660,2876431,2975809,3078629,3184754,3294039,3406299,3521276,3638628,3757962,3878952,4001377,4125107,4250026,4376056,4503114,4631114,4759935,4889437,5019471,5149934,5280727,5411867,5543520,5675930,5809271,5943591,6078816,6214857,6351572,6488857,6626544,6764623,6903314,7042940,7183646,7325622,7468551,7611463,7753052,7892420,8029114,8163474,8296375,8429116,8562623,8697127,8832286,8967759,9102997,9237565,9371333,9504336,9636491,9767737,9897983,10027140,10155036,10281408,10405943,10528391
Haiti,1827086,1827086,1827086,1827086,1827086,1827086,2144973,2144973,2144973,2144973,2144973,2144973,2144973,2144973,2144973,2144973,2448268,2448268,2448268,2448268,2448268,2448268,2448268,2448268,2448268,2448268,2448268,2781219,2781219,2781219,2781219,2781219,2781219,2781219,2781219,2781219,2781219,3221277,3275368,3331582,3390047,3450856,3514072,3579723,3647806,3718286,3791099,3866160,3943363,4022596,4103732,4186636,4271133,4357482,4445531,4534233,4622209,4708639,4793157,4876558,4960655,5047948,5140357,5238242,5341418,5450550,5566265,5688832,5818673,5955265,6096690,6240330,6384196,6527545,6670566,6813344,6956301,7099733,7243391,7386974,7530703,7674911,7819806,7965548,8111954,8258484,8404396,8549202,8692564,8834739,8976555,9119182,9263409,9409479,9556958,9705130,9852953,9999617,10144890,10288828,10431249,10572029,10711067
United States,93559186,93559186,93559186,93559186,93559186,93559186,108441644,108441644,108441644,108441644,108441644,108441644,108441644,108441644,108441644,108441644,125055606,125055606,125055606,125055606,125055606,125055606,125055606,125055606,125055606,125055606,125055606,134354133,134354133,134354133,134354133,134354133,134354133,134354133,134354133,134354133,134354133,157813040,159880756,162280405,164941716,167800046,170796378,173877321,176995108,180107612,183178348,186176524,189077076,191860710,194513911,197028908,199403532,201629471,203713082,205687611,207599308,209485807,211357912,213219515,215092900,217001865,218963561,220993166,223090871,225239456,227411604,229588208,231765783,233953874,236161961,238404223,240691557,243032017,245425409,247865202,250340795,252847810,255367160,257908206,260527420,263301323,266275528,269483224,272882865,276354096,279730801,282895741,285796198,288470847,291005482,293530886,296139635,298860519,301655953,304473143,307231961,309876170,312390368,314799465,317135919,319448634,321773631
Denmark,2880479,2880479,2880479,2880479,2880479,2880479,3242599,3242599,3242599,3242599,3242599,3242599,3242599,3242599,3242599,3242599,3542561,3542561,3542561,3542561,3542561,3542561,3542561,3542561,3542561,3542561,3542561,3832859,3832859,3832859,3832859,3832859,3832859,3832859,3832859,3832859,3832859,4268270,4308324,4345218,4379141,4410435,4439594,4467279,4494306,4521598,4550129,4580708,4613769,4649179,4686155,4723496,4760262,4796157,4831242,4865343,4898350,4930118,4960476,4989146,5015766,5039920,5061289,5079962,5095956,5108836,5118065,5123435,5124807,5122810,5118966,5115308,5113408,5113767,5116351,5121511,5129472,5140332,5154309,5171304,5190631,5211321,5232582,5254383,5276683,5298680,5319410,5338283,5354704,5369058,5382953,5398645,5417692,5440696,5466988,5495302,5523755,5550959,5576577,5600972,5624293,5646899,5669081
Germany,64064129,64064129,64064129,64064129,64064129,64064129,62277173,62277173,62277173,62277173,62277173,62277173,62277173,62277173,62277173,62277173,66439556,66439556,66439556,66439556,66439556,66439556,66439556,66439556,66439556,66439556,66439556,71244059,71244059,71244059,71244059,71244059,71244059,71244059,71244059,71244059,71244059,69786246,70111671,70421462,70720721,71015688,71313740,71623569,71955005,72318498,72724260,73179665,73686490,74238494,74820389,75410766,75990737,76558016,77106876,77611000,78038271,78366605,78584779,78700104,78732884,78713928,78667327,78604473,78524727,78426715,78305017,78159527,77990369,77812348,77657451,77566776,77570009,77671877,77864381,78146938,78514790,78958237,79483739,80075940,80675999,81206786,81612900,81870772,81993831,82010184,81965830,81895925,81809438,81699829,81569481,81417791,81246801,81055904,80854515,80665906,80519685,80435307,80424665,80477952,80565861,80646262,80688545
Hungary,7638063,7638063,7638063,7638063,7638063,7638063,7956033,7956033,7956033,7956033,7956033,7956033,7956033,7956033,7956033,7956033,8635353,8635353,8635353,8635353,8635353,8635353,8635353,8635353,8635353,8635353,8635353,9268490,9268490,9268490,9268490,9268490,9268490,9268490,9268490,9268490,9268490,9337723,9478110,9595219,9691114,9768149,9828971,9876547,9914136,9945194,9973216,10001270,10031496,10064667,10099999,10135688,10170472,10204575,10238930,10273730,10309211,10345553,10381705,10417419,10454502,10495442,10541344,10593989,10650975,10704187,10742694,10759022,10750270,10719749,10673963,10622559,10572975,10526561,10482364,10442721,10409854,10385061,10370223,10364661,10363797,10361134,10351994,10334876,10311227,10282937,10253110,10224113,10195978,10168101,10141471,10117213,10095964,10078461,10064138,10050699,10034951,10014633,9988846,9958334,9924507,9889540,9855023
Poland,26493422,26493422,26493422,26493422,26493422,26493422,24166006,24166006,24166006,24166006,24166006,24166006,24166006,24166006,24166006,24166006,28169922,28169922,28169922,28169922,28169922,28169922,28169922,28169922,28169922,28169922,28169922,30041062,30041062,30041062,30041062,30041062,30041062,30041062,30041062,30041062,30041062,24824013,25264029,25738253,26236679,26750026,27269745,27787997,28297669,28792427,29266789,29716363,30138099,30530513,30893775,31229448,31539695,31824145,32085011,32330582,32571673,32816751,33068997,33328713,33597810,33877397,34168112,34468877,34779313,35100942,35435627,35782855,36145211,36517072,36879742,37208529,37486105,37703942,37867481,37990683,38094812,38195258,38297549,38396826,38485892,38553355,38591860,38599825,38583109,38550777,38515359,38486305,38466543,38454823,38451227,38454520,38463514,38478763,38500356,38525752,38551489,38574682,38594217,38609486,38618698,38619974,38611794
