Cigarette consumption per smoker per day,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Brazil,39.599998,39.599998,39.599998,39.599998,39.599998,39.599998,39.599998,39.599998,39.599998,39.599998,39.599998,39.599998,39.599998,39.599998,39.599998,39.599998,39.599998,39.599998,39.599998,39.599998,39.599998,39.599998,39.599998,39.599998,39.599998,39.599998,39.599998,39.599998,39.599998,39.599998,39.599998,38.5,37.799999,37.599998,37.299999,36.900002,36,35.200001,34.599998,34.099998,34,34,34,33.799999,33.400002,32.799999,32.099998,31.6,31.200001,30.9,30.4,30.1,29.799999,29.700001,29.5,29.200001,28.799999,28.1,27,26.200001,25,23.799999,22.799999
Canada,29.200001,29.200001,29.200001,29.200001,29.200001,29.200001,29.200001,29.200001,29.200001,29.200001,29.200001,29.200001,29.200001,29.200001,29.200001,29.200001,29.200001,29.200001,29.200001,29.200001,29.200001,29.200001,29.200001,29.200001,29.200001,29.200001,29.200001,29.200001,29.200001,29.200001,29.200001,28.4,27.700001,27,26,24.799999,23.700001,22.799999,21.9,21.200001,20.799999,20.700001,20.700001,20.9,20.9,21.1,21.299999,21.5,21.700001,21.799999,22,22.5,23.1,23.799999,24.5,24.9,25.200001,25.4,25.6,26.1,26.6,27.200001,27.6
Dominican Republic,23.700001,23.700001,23.700001,23.700001,23.700001,23.700001,23.700001,23.700001,23.700001,23.700001,23.700001,23.700001,23.700001,23.700001,23.700001,23.700001,23.700001,23.700001,23.700001,23.700001,23.700001,23.700001,23.700001,23.700001,23.700001,23.700001,23.700001,23.700001,23.700001,23.700001,23.700001,23.200001,22.700001,22.1,21.6,21.299999,20.9,20.299999,19.700001,19,18.6,18.1,17.5,16.9,16.4,15.9,15.4,15.8,16.1,16.200001,16.299999,16.299999,16.299999,16.4,16.5,16.5,16.4,16.1,15.6,15.1,14.5,14,13.6
Haiti,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11.3,11.1,10.8,10.4,9.8999996,9.5,8.8999996,8.5,8,7.5,7.0999999,6.6999998,6.3000002,5.6999998,5.3000002,5.0999999,4.9000001,4.8000002,4.8000002,4.8000002,4.9000001,4.9000001,5,5,5.0999999,5.0999999,5.1999998,5.3000002,5.5,5.6999998,5.9000001,6.1999998
United States,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.6,31.5,31.4,31.200001,31,30.700001,30.4,30.1,29.700001,29.4,29.4,29.5,29.700001,29.799999,29.799999,29.5,28.9,28.1,27.299999,26.5,25.9,25.4,24.799999,24.1,23.4,22.700001,22.299999,22.1,22.299999,22.5,22.6,22.5
Denmark,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13,12.9,12.8,12.8,12.7,12.7,12.7,12.7,12.6,12.6,12.6,12.7,12.8,13,13.2,13.6,14.1,14.5,14.9,15.4,15.9,16.6,17.299999,18,18.799999,19.6,20.4,21.5,22.6,23.6,24.299999,24.6
Germany,20.299999,20.299999,20.299999,20.299999,20.299999,20.299999,20.299999,20.299999,20.299999,20.299999,20.299999,20.299999,20.299999,20.299999,20.299999,20.299999,20.299999,20.299999,20.299999,20.299999,20.299999,20.299999,20.299999,20.299999,20.299999,20.299999,20.299999,20.299999,20.299999,20.299999,20.299999,20,19.799999,19.6,19.4,19.299999,19.200001,19.200001,19.4,19.5,19.799999,20,20.299999,20.6,21,21.299999,21,20.4,20,19.799999,19.700001,19.6,19.6,19.6,19.1,18.5,17.9,17.299999,16.799999,16.4,16,15.5,15.1
Hungary,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,25.9,25.700001,25.5,25.4,25.4,25.4,25.299999,25.200001,25.1,25,25.4,25.9,26.299999,26.700001,27,27.299999,26.6,25.799999,24.9,23.9,22.6,21.299999,20,18.700001,17.4,16.5,15.8,15.4,15.3,15.5,15.8,16
Poland,20.700001,20.700001,20.700001,20.700001,20.700001,20.700001,20.700001,20.700001,20.700001,20.700001,20.700001,20.700001,20.700001,20.700001,20.700001,20.700001,20.700001,20.700001,20.700001,20.700001,20.700001,20.700001,20.700001,20.700001,20.700001,20.700001,20.700001,20.700001,20.700001,20.700001,20.700001,20.9,21.5,22.1,22.9,23.6,24.200001,24.6,24.9,25,25.200001,25.5,25.799999,26,26.200001,26.299999,26.299999,25.9,25.299999,24.5,23.6,22.799999,22.1,21.299999,20.6,20,19.6,19.299999,18.9,18.5,18.200001,17.799999,17.4
Romania,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19.1,19.200001,19.299999,19.4,19.4,19.4,19.4,19.200001,19.1,18.799999,18.6,18.4,18.299999,18.1,18.200001,18.4,19.1,19.799999,20.700001,21.700001,22.6,23.1,23.200001,22.799999,22,21.299999,20.700001,20.1,19.799999,19.700001,19.6,19.6
United Kingdom,17.200001,17.200001,17.200001,17.200001,17.200001,17.200001,17.200001,17.200001,17.200001,17.200001,17.200001,17.200001,17.200001,17.200001,17.200001,17.200001,17.200001,17.200001,17.200001,17.200001,17.200001,17.200001,17.200001,17.200001,17.200001,17.200001,17.200001,17.200001,17.200001,17.200001,17.200001,17.299999,17.5,17.700001,17.799999,17.9,17.9,17.9,17.700001,17.4,17.200001,17.1,17.1,17,16.799999,16.5,16.200001,15.9,15.5,15.1,14.8,14.5,14.2,14,13.8,13.7,13.6,13.6,13.6,13.7,13.8,13.7,13.6
Brunei,39.400002,39.400002,39.400002,39.400002,39.400002,39.400002,39.400002,39.400002,39.400002,39.400002,39.400002,39.400002,39.400002,39.400002,39.400002,39.400002,39.400002,39.400002,39.400002,39.400002,39.400002,39.400002,39.400002,39.400002,39.400002,39.400002,39.400002,39.400002,39.400002,39.400002,39.400002,39.599998,39.799999,40.200001,40.5,40.900002,41.400002,41.799999,42.099998,42.5,42.900002,43.299999,43.599998,44,44.299999,44.5,44.599998,44.799999,45.099998,45.400002,45.700001,45.900002,46.200001,46.400002,46.700001,47,47.200001,47.400002,47.599998,48,48.200001,48.5,48.599998
China,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.7,16,16.200001,16.5,16.799999,17.200001,17.4,17.700001,17.9,18,18.1,18.200001,18.200001,18.200001,18.200001,18.200001,18.5,18.799999,19.200001,19.700001,20.299999,20.799999,21.1,21.200001,21.5,21.799999,22.1,22.200001,22.200001,22.299999,22.299999,22.299999
India,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.8,12,12.1,12.2,12.2,12.3,12.3,12.3,12.3,12.2,12.1,12,11.9,11.7,11.6,11.4,11.2,10.9,10.7,10.4,10.1,9.8000002,9.5,9.3000002,9.1999998,9,9.1000004,9.1000004,9.1000004,8.8999996,8.6000004,8.1999998
Iran,25.700001,25.700001,25.700001,25.700001,25.700001,25.700001,25.700001,25.700001,25.700001,25.700001,25.700001,25.700001,25.700001,25.700001,25.700001,25.700001,25.700001,25.700001,25.700001,25.700001,25.700001,25.700001,25.700001,25.700001,25.700001,25.700001,25.700001,25.700001,25.700001,25.700001,25.700001,25.5,25.4,25.200001,25,24.799999,24.700001,24.6,24.5,24.5,24.4,24.200001,24.1,24.1,24,24,23.9,24,24,24,23.9,23.6,23.299999,23,22.700001,22.5,22.4,22.200001,22,21.799999,21.5,21.200001,20.9
North Korea,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17.9,17.700001,17.6,17.299999,17.1,16.799999,16.4,16,15.7,15.4,15.1,14.9,14.7,14.5,14.4,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.3,14.4,14.5,14.6,14.7,14.8,14.8,14.9
South Korea,22.700001,22.700001,22.700001,22.700001,22.700001,22.700001,22.700001,22.700001,22.700001,22.700001,22.700001,22.700001,22.700001,22.700001,22.700001,22.700001,22.700001,22.700001,22.700001,22.700001,22.700001,22.700001,22.700001,22.700001,22.700001,22.700001,22.700001,22.700001,22.700001,22.700001,22.700001,22.799999,22.9,23,23.1,23.200001,23.200001,23.200001,23.200001,23.200001,23.200001,23.4,23.5,23.700001,23.6,23.5,23.5,23.5,23.6,23.9,24.1,24.4,24.700001,25,25.200001,25.5,25.6,25.700001,25.700001,25.700001,25.6,25.4,25
Russia,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.6,21.200001,20.9,20.6,20.299999,20.1,19.799999,19.6,19.4,19.299999,19.200001,19.200001,19.299999,19.5,19.700001,20,20.6,21.299999,22,22.700001,23.299999,23.799999,24.200001,24.200001,24.200001,24.200001,24.1,24,24,24.200001,24.299999,24.4
Singapore,28.700001,28.700001,28.700001,28.700001,28.700001,28.700001,28.700001,28.700001,28.700001,28.700001,28.700001,28.700001,28.700001,28.700001,28.700001,28.700001,28.700001,28.700001,28.700001,28.700001,28.700001,28.700001,28.700001,28.700001,28.700001,28.700001,28.700001,28.700001,28.700001,28.700001,28.700001,27.799999,27.200001,26.6,26,25.5,25.200001,24.799999,24.6,24.200001,23.799999,23.5,23.200001,22.9,22.6,22.299999,22.1,21.9,21.9,22.1,22.1,22.200001,22.200001,22.1,21.9,21.4,20.9,20.299999,19.799999,19.4,18.9,18.5,18.1
Botswana,32.099998,32.099998,32.099998,32.099998,32.099998,32.099998,32.099998,32.099998,32.099998,32.099998,32.099998,32.099998,32.099998,32.099998,32.099998,32.099998,32.099998,32.099998,32.099998,32.099998,32.099998,32.099998,32.099998,32.099998,32.099998,32.099998,32.099998,32.099998,32.099998,32.099998,32.099998,31.4,30.700001,30,29.4,28.799999,28.299999,27.799999,26.9,26.1,25.299999,24.6,24.200001,23.799999,23.5,23.200001,22.9,22.5,22.1,21.6,21,20.4,19.799999,19.1,18.4,17.700001,17.1,16.5,15.9,15.6,15.2,14.9,14.6
Democratic Republic of Congo,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.6000004,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.3999996,8.3999996,8.1999998,8.1000004,8,7.8000002,7.6999998,7.5,7.4000001,7.3000002,7.1999998,7.0999999,7,7,7,7,7,7,7.0999999,7.0999999,7.1999998,7.3000002,7.3000002
