Life expectancy,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brazil,50.33,50.59,51.1,51.62,52.14,52.66,53.19,53.71,54.23,54.75,55.27,55.78,56.27,56.75,57.21,57.66,58.07,58.49,58.91,59.31,59.73,60.14,60.56,60.98,61.41,61.84,62.27,62.68,63.07,63.45,63.81,64.18,64.55,64.94,65.34,65.76,66.18,66.6,67.04,67.47,67.9,68.1,68.3,68.5,68.8,69,69.3,69.6,69.9,70.3,70.7,71.1,71.4,71.7,72,72.4,72.7,73,73.2,73.4,73.6,73.8,74,74.1,74.3,74.4
Canada,68.26,68.53,68.72,69.1,69.96,70.02,70,69.92,70.58,70.62,71,71.22,71.25,71.26,71.64,71.74,71.86,72.07,72.23,72.39,72.58,72.91,72.81,73.04,73.12,73.41,73.84,74.13,74.46,74.81,75.05,75.46,75.67,76.04,76.33,76.31,76.46,76.76,76.82,77.09,77.4,77.6,77.7,77.8,77.9,78,78.3,78.6,78.8,79,79.2,79.5,79.6,79.8,80.1,80.2,80.5,80.6,80.8,81.1,81.3,81.6,81.6,81.6,81.7,81.7
Dominican Republic,45.1,45.6,46.5,47.39,48.27,49.15,50.01,50.87,51.71,52.54,53.37,54.17,54.97,55.75,56.52,57.28,58.02,58.75,59.47,60.16,60.83,61.47,62.09,62.67,63.23,63.75,64.25,64.73,65.19,65.65,66.12,66.6,67.11,67.63,68.18,68.75,69.34,69.96,70.58,71.2,71.8,72.2,72.5,72.5,72.5,72.6,72.6,72.9,72.9,73.2,73.3,73.4,73.5,73.5,73.1,73.3,73.5,73.7,74.1,74.3,74.4,74.6,74.7,74.9,75.1,75.3
Haiti,36.24,36.56,37.22,37.87,38.5,39.12,39.74,40.34,40.93,41.52,42.1,42.68,43.26,43.82,44.38,44.93,45.43,45.9,46.33,46.73,47.1,47.45,47.81,48.17,48.53,48.9,49.28,49.63,49.97,50.3,50.62,50.94,51.29,51.64,52.02,52.42,52.81,53.21,53.59,53.95,54.3,54.4,54.9,54.7,55.4,56.2,56.7,57,57.5,58,58.7,59.2,59.6,59.7,58.6,60,60.3,60.8,61,61.7,32.2,62.4,62.9,63.4,63.8,64.3
United States,68.12,68.22,68.44,68.79,69.58,69.63,69.71,69.49,69.76,69.98,69.91,70.32,70.21,70.04,70.33,70.41,70.43,70.76,70.42,70.66,70.92,71.24,71.34,71.54,72.08,72.68,72.99,73.38,73.58,74.03,73.93,74.36,74.65,74.71,74.81,74.79,74.87,75.01,75.02,75.1,75.4,75.5,75.8,75.7,75.8,75.9,76.3,76.6,76.8,76.9,76.9,76.9,77.1,77.3,77.6,77.6,77.8,78.1,78.3,78.5,78.8,78.9,79,79.1,79.1,79.1
Denmark,70.37,70.97,70.82,71.2,71.4,71.97,72.11,71.87,72.3,72.29,72.28,72.55,72.43,72.52,72.61,72.49,72.57,73.06,73.27,73.36,73.49,73.55,73.59,73.83,73.96,74.24,73.91,74.82,74.59,74.41,74.3,74.44,74.78,74.65,74.81,74.68,74.86,74.97,75.06,75.1,75.1,75.4,75.4,75.4,75.4,75.6,75.9,76.2,76.7,76.3,77.1,77.2,77.2,77.6,77.8,78.3,78.3,78.4,78.9,79.1,79.4,79.9,80.3,80.3,80.3,80.4
Germany,66.91,67.08,67.4,67.7,68,68.28,68.57,68.49,69.23,69.34,69.26,69.85,70.01,70.1,70.66,70.65,70.77,70.99,70.64,70.48,70.72,70.94,71.16,71.41,71.71,71.56,72.02,72.63,72.6,72.96,73.14,73.37,73.69,73.97,74.44,74.55,74.75,75.15,75.33,75.51,75.4,75.6,76,76.1,76.4,76.6,76.9,77.3,77.6,77.8,78.1,78.4,78.6,78.8,79.2,79.4,79.7,79.9,80,80.1,80.3,80.5,80.6,80.7,80.7,80.8
Hungary,62.09,62.48,64.05,63.89,65.46,66.91,66.07,66.44,67.45,67.35,68.13,69.06,68,69.02,69.52,69.22,69.98,69.55,69.38,69.45,69.29,69.19,69.82,69.69,69.41,69.46,69.75,70.02,69.56,69.77,69.18,69.24,69.47,69.03,69.07,69.01,69.22,69.69,70.09,69.53,69.5,69.2,69.1,69.2,69.5,70.1,70.5,70.9,71.1,71.3,71.8,72.3,72.6,72.7,72.9,73.1,73.3,73.6,73.9,74.3,74.6,75,75.5,76.1,76.5,76.7
Poland,59.08,59.68,60.87,61.96,62.97,63.9,64.74,65.5,65.97,65.59,67.92,68.04,67.71,68.64,68.87,69.58,69.99,69.69,70.33,69.83,69.96,69.76,70.95,70.95,71.46,70.88,70.88,70.78,70.71,71.05,70.4,71.38,71.45,71.29,71.03,70.78,71.07,71.12,71.49,71.25,70.9,70.7,71.1,71.7,71.7,71.9,72.4,72.7,73,73.1,73.8,74.2,74.6,74.9,75,75.1,75.2,75.2,75.4,75.7,76.2,76.5,76.7,77.3,77.4,77.6
Romania,61.2,61.13,61.07,61.19,61.47,61.93,62.54,63.29,64.14,65.04,65.92,66.7,67.32,67.74,67.96,68.02,67.98,67.95,68.01,68.16,68.41,68.73,69.06,69.34,69.58,69.75,69.87,69.95,70.01,70.06,70.1,70.12,70.11,70.1,70.08,70.05,70.02,70,69.98,69.99,70,70.5,70,69.8,69.5,69.4,69.1,69.1,69.8,70.6,71.1,71.1,71.2,71.6,72,72.4,72.8,73.3,73.2,73.3,73.7,74.5,74.7,74.9,75.1,75.2
