,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brazil,112.33,112.33,112.33,112.33,112.33,112.33,112.33,112.33,112.33,112.33,112.33,112.33,115.07,109.59,104.11,112.33,98.63,101.37,112.33,112.33,112.33,109.59,117.81,117.81,126.03,131.51,128.77,126.03,128.77,142.47,145.21,131.51,134.25,128.77,131.51,126.03,134.25,131.51,128.77,131.51,131.51,128.77,136.99,136.99,142.47,145.21,153.43,156.16,156.16,153.43,153.43,156.16,150.69,153.43,153.43,153.43,153.43,153.43,153.43,153.43,153.43,153.43,153.43,153.43,153.43,153.43
Canada,123.29,123.29,123.29,123.29,123.29,123.29,123.29,123.29,123.29,123.29,123.29,123.29,128.77,126.03,123.29,126.03,134.25,128.77,128.77,134.25,131.51,131.51,131.51,128.77,123.29,120.55,128.77,126.03,123.29,120.55,115.07,115.07,109.59,112.33,120.55,120.55,123.29,126.03,115.07,109.59,115.07,112.33,117.81,123.29,126.03,128.77,134.25,139.73,142.47,139.73,145.21,153.43,167.12,172.6,172.6,172.6,172.6,172.6,172.6,172.6,172.6,172.6,172.6,172.6,172.6,172.6
Dominican Rep.,63.01,63.01,63.01,63.01,63.01,63.01,63.01,63.01,63.01,63.01,63.01,63.01,90.41,87.67,82.19,71.23,79.45,73.97,87.67,84.93,76.71,82.19,84.93,95.89,95.89,90.41,87.67,90.41,93.15,93.15,101.37,95.89,101.37,106.85,112.33,128.77,120.55,112.33,90.41,95.89,76.71,95.89,104.11,112.33,112.33,112.33,109.59,106.85,101.37,101.37,98.63,115.07,115.07,109.59,109.59,109.59,109.59,109.59,109.59,109.59,109.59,109.59,109.59,109.59,109.59,109.59
Haiti,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,68.49,65.75,63.01,63.01,63.01,63.01,65.75,65.75,65.75,68.49,68.49,68.49,71.23,68.49,71.23,73.97,71.23,68.49,65.75,71.23,57.53,52.06,46.58,43.84,41.1,43.84,43.84,52.06,52.06,46.58,43.84,57.53,52.06,52.06,54.8,68.49,63.01,65.75,73.97,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75
United States,142.47,142.47,142.47,142.47,142.47,142.47,142.47,142.47,142.47,142.47,142.47,142.47,142.47,139.73,145.21,145.21,145.21,147.95,150.69,153.43,153.43,156.16,158.9,158.9,156.16,150.69,158.9,161.64,158.9,158.9,156.16,153.43,153.43,153.43,156.16,158.9,158.9,164.38,167.12,167.12,169.86,172.6,175.34,178.08,180.82,183.56,186.3,194.52,194.52,189.04,194.52,194.52,194.52,191.78,191.78,191.78,191.78,191.78,191.78,191.78,191.78,191.78,191.78,191.78,191.78,191.78
Denmark,139.73,139.73,139.73,139.73,139.73,139.73,139.73,139.73,139.73,139.73,139.73,139.73,145.21,142.47,139.73,145.21,145.21,145.21,142.47,142.47,147.95,145.21,139.73,147.95,147.95,136.99,145.21,123.29,131.51,126.03,128.77,128.77,131.51,131.51,123.29,123.29,123.29,126.03,120.55,115.07,120.55,131.51,134.25,139.73,139.73,136.99,131.51,145.21,136.99,134.25,145.21,142.47,161.64,158.9,158.9,158.9,158.9,158.9,158.9,158.9,158.9,158.9,158.9,158.9,158.9,158.9
Germany,93.15,93.15,93.15,93.15,93.15,93.15,93.15,93.15,93.15,93.15,93.15,93.15,93.15,93.15,98.63,93.15,98.63,95.89,101.37,101.37,106.85,106.85,109.59,115.07,115.07,109.59,117.81,109.59,115.07,117.81,117.81,120.55,120.55,120.55,115.07,120.55,123.29,117.81,120.55,115.07,95.89,120.55,126.03,117.81,112.33,120.55,109.59,115.07,112.33,112.33,115.07,126.03,126.03,123.29,123.29,123.29,123.29,123.29,123.29,123.29,123.29,123.29,123.29,123.29,123.29,123.29
Hungary,82.19,82.19,82.19,82.19,82.19,82.19,82.19,82.19,82.19,82.19,82.19,82.19,82.19,84.93,87.67,87.67,93.15,95.89,93.15,101.37,98.63,101.37,104.11,109.59,112.33,117.81,93.15,104.11,109.59,106.85,120.55,109.59,126.03,115.07,112.33,117.81,120.55,134.25,112.33,128.77,126.03,117.81,136.99,128.77,123.29,134.25,142.47,147.95,156.16,142.47,126.03,126.03,123.29,123.29,123.29,123.29,123.29,123.29,123.29,123.29,123.29,123.29,123.29,123.29,123.29,123.29
Poland,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,93.15,90.41,93.15,98.63,101.37,106.85,112.33,112.33,115.07,117.81,120.55,126.03,126.03,126.03,120.55,123.29,126.03,123.29,98.63,123.29,134.25,134.25,123.29,120.55,136.99,136.99,139.73,131.51,104.11,106.85,123.29,115.07,112.33,115.07,117.81,117.81,117.81,123.29,123.29,123.29,123.29,123.29,123.29,123.29,123.29,123.29,123.29,123.29,123.29,123.29,123.29,123.29,123.29
Romania,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,32.88,35.62,38.36,43.84,46.58,43.84,52.06,54.8,57.53,57.53,60.27,60.27,60.27,60.27,76.71,76.71,79.45,82.19,84.93,73.97,73.97,76.71,79.45,76.71,68.49,65.75,68.49,68.49,68.49,68.49,73.97,71.23,73.97,68.49,73.97,57.53,60.27,60.27,68.49,71.23,68.49,71.23,71.23,71.23,71.23,71.23,71.23,71.23,71.23,71.23,71.23,71.23,71.23,71.23
